"estrato","upm","factor","programa","ingreso","score"
"Alta","A1",750,1,500,46
"Alta","A1",750,1,4294,52
"Alta","A1",750,1,500,43
"Alta","A1",750,1,3341,49
"Alta","A1",750,1,3392,46
"Alta","A1",750,1,2898,51
"Alta","A1",750,1,1292,59
"Alta","A1",750,1,3187,49
"Alta","A1",750,0,6404,26
"Alta","A1",750,1,1195,35
"Alta","A2",750,0,4013,47
"Alta","A2",750,0,3960,38
"Alta","A2",750,0,3873,29
"Alta","A2",750,1,3060,60
"Alta","A2",750,0,2323,46
"Alta","A2",750,1,2594,55
"Alta","A2",750,1,3294,49
"Alta","A2",750,0,3494,42
"Alta","A2",750,1,4490,58
"Alta","A2",750,1,3946,51
"Alta","A3",750,1,5859,60
"Alta","A3",750,0,4886,37
"Alta","A3",750,1,5423,49
"Alta","A3",750,1,5091,55
"Alta","A3",750,1,10426,51
"Alta","A3",750,1,6736,60
"Alta","A3",750,1,1315,49
"Alta","A3",750,1,6349,52
"Alta","A3",750,1,7988,65
"Alta","A3",750,1,7094,56
"Alta","A4",750,1,3084,45
"Alta","A4",750,0,5448,35
"Alta","A4",750,1,2693,53
"Alta","A4",750,0,5301,38
"Alta","A4",750,1,1948,49
"Alta","A4",750,0,5380,36
"Alta","A4",750,1,2520,53
"Alta","A4",750,0,2324,33
"Alta","A4",750,1,4928,57
"Alta","A4",750,0,5092,47
"Alta","A5",750,1,9442,50
"Alta","A5",750,1,6344,59
"Alta","A5",750,0,5947,39
"Alta","A5",750,1,5758,44
"Alta","A5",750,0,5115,47
"Alta","A5",750,1,7258,54
"Alta","A5",750,1,5106,54
"Alta","A5",750,0,6998,49
"Alta","A5",750,1,5773,55
"Alta","A5",750,0,4754,42
"Alta","A6",750,0,6089,41
"Alta","A6",750,0,8158,43
"Alta","A6",750,1,9499,50
"Alta","A6",750,1,7928,49
"Alta","A6",750,0,6212,39
"Alta","A6",750,1,5571,51
"Alta","A6",750,1,6815,58
"Alta","A6",750,1,3461,49
"Alta","A6",750,1,5231,57
"Alta","A6",750,1,5848,60
"Alta","A7",750,1,6247,63
"Alta","A7",750,0,3068,38
"Alta","A7",750,0,4114,43
"Alta","A7",750,1,4341,59
"Alta","A7",750,1,4530,60
"Alta","A7",750,1,5108,56
"Alta","A7",750,1,6059,61
"Alta","A7",750,1,4914,60
"Alta","A7",750,0,5197,50
"Alta","A7",750,1,5059,65
"Alta","A8",750,1,1988,54
"Alta","A8",750,1,3290,49
"Alta","A8",750,1,2228,65
"Alta","A8",750,0,2951,48
"Alta","A8",750,0,2553,48
"Alta","A8",750,1,2059,59
"Alta","A8",750,1,4324,56
"Alta","A8",750,1,4453,60
"Alta","A8",750,1,5492,45
"Alta","A8",750,1,3987,58
"Alta","A9",750,1,624,55
"Alta","A9",750,0,3416,55
"Alta","A9",750,1,2503,63
"Alta","A9",750,1,5592,64
"Alta","A9",750,1,4620,63
"Alta","A9",750,1,2132,67
"Alta","A9",750,1,3406,60
"Alta","A9",750,0,1765,43
"Alta","A9",750,1,1704,56
"Alta","A9",750,0,4009,46
"Alta","A10",750,1,5097,51
"Alta","A10",750,0,3611,45
"Alta","A10",750,0,6847,42
"Alta","A10",750,0,5188,40
